DB_Object_ID	DB_Object_Symbol	DB_Object_Name
FBgn0030479	Rbp1-like	Rbp1-like
FBgn0010774	Ref1	RNA and export factor binding protein 1
FBgn0003261	Rm62	Rm62
FBgn0014024	Rnp4F	RNA-binding protein 4F
FBgn0037707	RnpS1	RNA-binding protein S1
FBgn0005649	Rox8	Rox8
FBgn0039182	Rrp5	Ribosomal RNA Processing 5
FBgn0011305	Rsf1	Repressor splicing factor 1
FBgn0265298	SC35	SR family splicing factor SC35
FBgn0025571	SF1	Splicing factor 1
FBgn0283477	SF2	Splicing factor 2
FBgn0261791	SNRPG	Small nuclear ribonucleoprotein G
FBgn0039229	Saf-B	Scaffold attachment factor B
FBgn0266917	Sf3a1	Splicing factor 3a subunit 1
FBgn0036314	Sf3a2	Splicing factor 3a subunit 2
FBgn0031266	Sf3b1	Splicing factor 3b subunit 1
FBgn0031493	Sf3b2	Splicing factor 3b subunit 2
FBgn0035162	Sf3b3	Splicing factor 3b subunit 3
FBgn0040534	Sf3b5	Splicing factor 3b subunit 5
FBgn0035692	Sf3b6	Splicing factor 3b subunit 6
FBgn0039626	Slu7	Slu7
FBgn0262601	SmB	Small ribonucleoprotein particle protein SmB
FBgn0261933	SmD1	Small ribonucleoprotein particle protein SmD1
FBgn0261789	SmD2	Small ribonucleoprotein particle protein SmD2
FBgn0023167	SmD3	Small ribonucleoprotein particle protein SmD3
FBgn0261790	SmE	Small ribonucleoprotein particle protein SmE
FBgn0000426	SmF	Small ribonucleoprotein particle protein SmF
FBgn0036641	Smn	survival motor neuron
FBgn0038666	Smu1	Smu1 spliceosomal factor
FBgn0037716	Son	Son RNA binding protein
FBgn0039977	Spf30	Splicing factor 30
FBgn0086683	Spf45	Spf45
FBgn0015818	Spx	Spliceosomal protein on the X
FBgn0024285	Srp54	Splicing regulatory protein 54
FBgn0036340	Srrm1	Serine-arginine repetitive matrix 1
FBgn0035253	Srrm234	Serine-arginine repetitive matrix 2/3/4
FBgn0264270	Sxl	Sex lethal
FBgn0038826	Syp	Syncrip
FBgn0030365	Tango4	Transport and Golgi organization 4
FBgn0031456	Tnpo-SR	Transportin-Serine/Arginine rich
FBgn0033210	U2A	U2A
FBgn0015317	U2af35	U2 small nuclear riboprotein auxiliary factor 35
FBgn0017457	U2af38	U2 small nuclear riboprotein auxiliary factor 38
FBgn0005411	U2af50	U2 small nuclear riboprotein auxiliary factor 50
FBgn0036733	U4-U6-60K	U4-U6 small nuclear riboprotein factor 60K
FBgn0030969	Usp39	Ubiquitin specific protease 39
FBgn0037583	Veneno	Veneno
FBgn0027616	Ythdc1	YTH domain containing 1
FBgn0029941	ZC3H18	Zinc finger CCCH-type containing 18
FBgn0263603	Zn72D	Zinc-finger protein at 72D
FBgn0015331	abs	abstrakt
FBgn0036317	anw	angel wing
FBgn0029094	asf1	anti-silencing factor 1
FBgn0037081	barc	barricade
FBgn0037660	beag	beag
FBgn0000114	bru1	bruno 1
FBgn0262475	bru2	bruno 2
FBgn0264001	bru3	bruno 3
FBgn0045862	btz	barentsz
FBgn0040235	c12.1	c12.1
FBgn0031114	cactin	cactin
FBgn0285954	caz	cabeza
FBgn0000377	crn	crooked neck
FBgn0028382	cyp33	cyclophilin-33
FBgn0020306	dom	domino
FBgn0001942	eIF4A	eukaryotic translation initiation factor 4A
FBgn0000543	ecd	ecdysoneless
FBgn0000615	exu	exuperantia
FBgn0033859	fand	fandango
FBgn0000662	fl(2)d	female lethal d
FBgn0023441	fus	fusilli
FBgn0259139	glo	glorund
FBgn0011224	heph	hephaestus
FBgn0028577	hfp	half pint
FBgn0286786	hoip	hoi-polloi
FBgn0264491	how	held out wings
FBgn0024887	kin17	kin17
FBgn0001491	l(1)10Bb	lethal (1) 10Bb
FBgn0086444	l(2)37Cb	lethal (2) 37Cb
FBgn0011640	lark	lark
FBgn0035838	ldbr	lariat debranching enzyme
FBgn0263594	lost	lost
FBgn0038345	maca	maca
FBgn0002736	mago	mago nashi
FBgn0029979	mahe	maheshvara
FBgn0265487	mbl	muscleblind
FBgn0038772	mdlc	midlife crisis
FBgn0265184	miso	minor splicing and oogenesis
FBgn0002780	mod	modulo
FBgn0262737	mub	mushroom-body expressed
FBgn0086707	ncm	nucampholin
FBgn0027548	nito	spenito
FBgn0014366	noi	noisette
FBgn0004227	nonA	no on or off transient A
FBgn0034740	nsr	novel spermatogenesis regulator
FBgn0038344	obe	obelus
FBgn0265297	pAbp	poly(A) binding protein
FBgn0086895	pea	peanuts
FBgn0082831	pps	protein partner of snf
FBgn0261552	ps	pasilla
FBgn0022987	qkr54B	quaking related 54B
FBgn0022986	qkr58E-1	quaking related 58E-1
FBgn0022985	qkr58E-2	quaking related 58E-2
FBgn0022984	qkr58E-3	quaking related 58E-3
FBgn0261648	salm	spalt major
FBgn0051368	salsa	salsa
FBgn0024191	sip1	septin interacting protein 1
FBgn0003435	sm	smooth
FBgn0083987	snRNA:U11	small nuclear RNA U11
FBgn0041721	snRNA:U12	small nuclear RNA U12
FBgn0003916	snRNA:U1:21D	small nuclear RNA U1 at 21D
FBgn0004183	snRNA:U1:82Eb	small nuclear RNA U1 at 82Eb
FBgn0004185	snRNA:U1:95Ca	small nuclear RNA U1 at 95C a
FBgn0004186	snRNA:U1:95Cb	small nuclear RNA U1 at 95C b
FBgn0004187	snRNA:U1:95Cc	small nuclear RNA U1 at 95C c
FBgn0003920	snRNA:U2:14B	small nuclear RNA U2 at 14B
FBgn0004191	snRNA:U2:34ABa	small nuclear RNA U2 at 34AB a
FBgn0004192	snRNA:U2:34ABb	small nuclear RNA U2 at 34AB b
FBgn0041720	snRNA:U2:34ABc	small nuclear RNA U2 at 34AB c
FBgn0003922	snRNA:U2:38ABa	small nuclear RNA U2 at 38AB a
FBgn0003923	snRNA:U2:38ABb	small nuclear RNA U2 at 38AB b
FBgn0041719	snRNA:U4:25F	small nuclear RNA U4 at 25F
FBgn0003931	snRNA:U4:38AB	small nuclear RNA U4 at 38AB
FBgn0003930	snRNA:U4:39B	small nuclear RNA U4 at 39B
FBgn0263018	snRNA:U4atac	small nuclear RNA U4atac
FBgn0003933	snRNA:U5:14B	small nuclear RNA U5 at 14B
FBgn0003934	snRNA:U5:23D	small nuclear RNA U5 at 23D
FBgn0003935	snRNA:U5:34A	small nuclear RNA U5 at 34A
FBgn0003936	snRNA:U5:35D	small nuclear RNA U5 at 35D
FBgn0043022	snRNA:U5:38ABa	small nuclear RNA U5 at 38AB a
FBgn0043021	snRNA:U5:38ABb	small nuclear RNA U5 at 38AB b
FBgn0003938	snRNA:U5:63BC	small nuclear RNA U5 at 63BC
FBgn0004188	snRNA:U6:96Aa	small nuclear RNA U6 at 96A a
FBgn0004189	snRNA:U6:96Ab	small nuclear RNA U6 at 96A b
FBgn0004190	snRNA:U6:96Ac	small nuclear RNA U6 at 96A c
FBgn0041717	snRNA:U6atac	small nuclear RNA U6atac
FBgn0016978	snRNP-U1-70K	small ribonucleoprotein particle U1 subunit 70K
FBgn0261792	snRNP-U1-C	small ribonucleoprotein particle U1 subunit C
FBgn0003449	snf	sans fille
FBgn0263396	sqd	squid
FBgn0024987	ssx	sister-of-Sex-lethal
FBgn0039124	tbrd-1	testis-specifically expressed bromodomain containing protein-1
FBgn0003741	tra	transformer
FBgn0003742	tra2	transformer 2
FBgn0085391	trv	trivet
FBgn0039117	tst	twister
FBgn0033378	tsu	tsunagi
FBgn0022224	ubl	ubiquitin like
FBgn0003977	vir	virilizer
FBgn0028554	x16	x16 splicing factor
FBgn0261287	ymp	yellow-emperor
FBgn0022959	yps	ypsilon schachtel
FBgn0021895	ytr	yantar
