FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	embryo 10h 1	embryo 10h 2	embryo 10h 3	larvae 1st instar 1	larvae 2nd instar 1	larvae 3rd instar 1	pupae P1 1	pupae P1 2	pupae P1 3	pupae P2 1	pupae P2 2	pupae P2 3	pupae P3 1	pupae P3 2	pupae P3 3	pupae P4 1	pupae P4 2	pupae P4 3	pupae P5 1	pupae P5 2	pupae P5 3	pupae 24h 1	pupae 24h 2	pupae 24h 3	pupae 48h 1	pupae 48h 2	pupae 48h 3	adults 5d 1	adults 5d 2	adults 5d 3
FBgn0000114	bru1	bruno 1	BP_function	7.174037452985219	6.690526551275341	6.80837199436414	7.389508087975485	6.850427155562569	7.092319170933152	8.70980317625455	8.88736954675799	8.57788881715008	8.303246141126188	8.090313868698427	8.353198258488362	8.313024945649387	7.787871070098963	7.497578717618489	7.964302656587954	9.416536742893529	8.302511363436983	7.903811137954782	8.054585839078072	8.495632071203502	9.12331523282026	8.113101472840997	8.306457889015185	10.685031818107072	9.892542543022014	11.112637846712405	11.395963412716576	11.022952720641223	11.920197114019528
FBgn0000377	crn	crooked neck	BP_function;CC_component	9.057576339350392	9.134273736091751	9.038984676418394	8.882089531975291	8.938345661547894	10.064130825075418	8.612448441042622	8.508046809721561	8.574013205538424	8.464207658355663	8.651499187055563	8.434717120537613	8.409427580111132	8.691304374899389	8.674848387904163	8.657408258266878	8.379848532773288	8.671487383282466	8.755897546586779	8.77009253132737	8.733793579613579	8.93721097179912	9.198820023396278	9.160604844629706	8.56263873539418	8.98098001535773	8.66904859577565	8.051701331659167	7.936445432641366	7.711588604218229
FBgn0000426	SmF	Small ribonucleoprotein particle protein SmF	BP_function;CC_component	8.358075474200295	8.360529166679177	8.668989790820044	8.874171590540936	9.127072653191034	9.635829406146703	7.804953760034599	8.170086199692266	8.105518755267791	7.9752859824932525	7.731913103481876	8.042181095437906	7.591742203095041	7.854565737260183	8.131874601351925	8.069227815558712	8.064173370998953	7.611037661386115	8.68002436388852	8.98189651733214	8.544470286518973	8.700179119778316	8.870430383244871	8.797206914954838	7.675972678261065	8.147454715469047	8.196947685276415	7.06918922223359	7.819706662430499	7.1095915179368046
FBgn0000543	ecd	ecdysoneless	BP_function	8.551666467513387	8.618921202858967	8.649178129695226	8.084771180961459	8.081800514409503	9.4814882101245	9.2938115216954	9.38521021578024	9.522498293175572	9.375092754492613	9.32864889681582	9.373937208239616	9.130635817997428	9.380759951594854	9.376508988550196	9.219863667216336	9.004958860385308	9.243222879404373	9.660843102895829	9.635166461779315	9.64838304845821	9.779680704162578	9.788108728092023	9.921163678400475	9.087569699933072	9.433835013078756	8.894205933578759	8.181894615757846	8.023420689926372	7.994310747189957
FBgn0000615	exu	exuperantia	BP_function;CC_component	5.93794320201961	5.396003459089804	5.308811792780158	7.077014580649676	8.393206776446034	8.819128080883456	9.685488795220802	9.765968052043592	9.61014010473678	9.721102876961504	9.324177438684458	9.802912274887165	9.742485831091717	9.465763156088029	9.503996493893329	9.901486128617622	10.77265849905876	9.822287168070064	9.46858201915498	9.63706138112238	10.27947754788216	9.6157135863666	8.852635345187803	9.657289835130856	10.23862122061258	9.411670219246597	10.6297401749127	12.705212029861087	12.162319306651987	13.197026707149698
FBgn0000662	fl(2)d	female lethal d	BP_function	9.975279580820612	10.104114315977691	9.94666996210188	9.003187790784668	8.513270098787046	7.432616152095269	9.088968916475851	8.88736954675799	8.728410984128564	8.991769485209291	8.70067373062618	8.929017352943411	8.993398650097	8.866027337693493	8.418110985746786	8.478903288193255	8.791108622034278	8.500875827445896	8.545169942965355	8.40167281534089	8.672368877361112	8.726294247529268	8.212331796737407	8.100663978193772	8.399265218079965	8.067539194616698	8.649572862844495	8.12051854802738	7.875374467754728	8.292838555264774
FBgn0001215	Hrb98DE	Heterogeneous nuclear ribonucleoprotein at 98DE	BP_function	12.580755638104709	12.637052447642068	12.524818810649233	10.594703693344831	10.611547616772828	10.456621578789472	11.171151075786849	11.126484330317266	11.28510239974748	11.339881286482012	11.320878897756945	11.347775535123027	11.413041715457458	11.329298167071409	11.042530076001588	10.994290198792308	11.23218542576913	11.186790312246634	11.445144159141268	11.187437748095205	11.366277579546278	11.478686097385916	11.3278431063307	11.301039797143572	10.740235933169386	10.613335314450463	10.493511117994196	10.89192439098796	10.422428529821646	11.178103295603934
FBgn0001491	l(1)10Bb	lethal (1) 10Bb	BP_function;CC_component	8.729218641702344	8.54787856583208	8.778401815372018	8.452829197944968	7.987205683786075	6.549355528414476	7.366868009829752	7.427496188121133	7.472917075102982	7.695575637060096	7.1733248471912665	7.25977087560196	7.254154218280121	7.293911980225471	7.350097752876444	7.9710909143508495	8.034436907055035	7.54831191659283	8.08404046215559	7.8334186804404835	7.784487162495528	7.435232407330173	7.442469616684266	7.05611959313072	7.318059910817208	7.162036095790327	7.767631594567013	7.543360358777958	8.382305359959028	7.857173652830912
FBgn0001942	eIF4A	eukaryotic translation initiation factor 4A	BP_function	14.107849140238256	14.205662589100342	14.093245784307404	14.457708960292376	14.707265281056792	15.086624258812858	14.308443275381633	14.50532619831037	14.534001313289329	14.40538928741066	14.561759743906794	14.450104188794413	14.339788191539084	14.580954754236158	14.899918604111903	14.538569886304426	13.707576218697504	14.214628610007148	14.34288143258962	14.590978372341812	14.234007220884411	14.597555479265608	15.02727004895542	15.073902627353933	14.418888215112306	14.69603871426276	14.25480333378897	14.120804549717512	13.533510584181318	13.90338614363155
FBgn0001986	Mtr4	Mtr4 helicase	BP_function;CC_component	9.295334025315851	9.40615804608914	9.31363789108742	9.193315057295832	8.772904942175723	7.971352515985177	8.262037448923309	8.056837357107874	8.094718936850681	8.004862238268695	8.00878450063253	8.053713416277981	7.864274442614152	8.037777086940237	7.897140959153157	7.997926141295995	7.875704323981218	7.998186385018492	7.955260249961651	8.195416417051026	8.334318036434821	8.327907848760253	8.38168583389093	8.582261922399738	8.126434396692694	8.04202440124478	7.614522540554323	8.309112349231803	7.811573809030717	8.33309904549301
FBgn0002736	mago	mago nashi	BP_function;CC_component	10.219945644855926	9.975693488592048	10.271770735268946	9.89259680193904	10.362223796879135	9.730244971479054	8.754132380238495	8.93464552948686	9.138157592470629	9.018508830774548	9.032274033953788	8.953776826499292	8.607080456092996	8.915249838567636	9.351861503731364	9.138093882279913	8.319569878633885	8.52131539560531	9.51863184705144	9.66704611690377	9.294416338126895	9.125495809935382	9.675601969223074	9.57345747881037	8.605547491730222	8.655646280484856	9.21070271866117	8.129449229324148	8.527936675515884	7.86820300529261
